Date,Open,High,Low,Close,Adj Close,Volume
2020/3/2,186.320007,192.440002,183.100006,192.330002,192.008499,17434500
2020/3/3,193.199997,194.039993,184.5,185.729996,185.419525,15226400
2020/3/4,190.360001,194.490005,186.169998,194.289993,193.96521,10789100
2020/3/5,191.240005,191.919998,185.639999,186.960007,186.647476,10106900
2020/3/6,183.539993,185.990005,179.979996,184.360001,184.051819,15183200
2020/3/9,171.210007,179.570007,168.309998,171.130005,170.843948,20486400
2020/3/10,179.470001,182.610001,171.880005,182.600006,182.294769,16119400
2020/3/11,177.649994,178.729996,170.199997,172.949997,172.660889,14598200
2020/3/12,158.5,172,156.990005,160.080002,159.812408,27467700
2020/3/13,168.720001,176.320007,162.210007,175.830002,175.536087,19948900
2020/3/16,151.139999,165.309998,147.979996,152.009995,151.75589,23692000
2020/3/17,155.75,163.699997,149.25,157.889999,157.626068,22298000
2020/3/18,148.460007,150.679993,139.800003,148.479996,148.231796,22787500
2020/3/19,146.919998,157.25,141.470001,152.25,151.995499,19362800
2020/3/20,154.820007,158.259995,145.669998,146.830002,146.584564,18692100
2020/3/23,141.330002,143.350006,133.929993,135.740005,135.513107,30344100
2020/3/24,144.839996,155.25,143.580002,154.529999,154.271683,24488300
2020/3/25,159.320007,168.179993,153.580002,161.779999,161.509567,20619600
2020/3/26,162.080002,169.529999,161.789993,168.880005,168.597702,17062900
2020/3/27,161.080002,167.100006,158.149994,161.559998,161.289932,14950700
2020/3/30,161.039993,165.869995,160.690002,165.570007,165.293243,15714500
2020/3/31,166.429993,168.190002,160.539993,161.119995,160.850662,20613100
2020/4/1,156.320007,158.070007,151.419998,153.110001,152.854065,12595200
2020/4/2,152.529999,158.350006,151.289993,157.389999,157.126907,14051100
2020/4/3,155.559998,157.720001,150.600006,151.850006,151.596176,11994700
2020/4/6,160.020004,170.729996,158.25,169.440002,169.156769,16479100
2020/4/7,177.759995,178.800003,168.100006,168.589996,168.308182,15379000
2020/4/8,171.009995,176,167.929993,174.940002,174.647568,11146500
2020/4/9,176.270004,177.190002,172.850006,173.690002,173.399658,12231800
2020/4/13,172.259995,172.320007,166.149994,168.990005,168.70752,14043700
2020/4/14,173.089996,175.429993,170.830002,174.619995,174.328094,9980500
2020/4/15,168.699997,169.360001,164.949997,165.960007,165.682587,12118700
2020/4/16,167.110001,168,159.800003,162.419998,162.148499,20308200
2020/4/17,169.649994,170.990005,164.949997,169.539993,169.256592,15375800
2020/4/20,167.330002,167.429993,163.199997,164.220001,163.945496,10505200
2020/4/21,162,162.570007,159.149994,160.529999,160.261658,10562100
2020/4/22,164.660004,167.699997,162.919998,166.589996,166.311523,14512900
2020/4/23,167.880005,170.410004,166.210007,166.380005,166.101883,11411300
2020/4/24,168.440002,168.75,164.009995,167.320007,167.040314,8393600
2020/4/27,168.649994,172.350006,168.550003,171.759995,171.472885,9903300
2020/4/28,175,175.009995,170.380005,171.25,170.96373,8614400
2020/4/29,176.850006,182.25,176.100006,181.789993,181.486115,12862800
2020/4/30,181.779999,181.830002,177.660004,178.720001,178.421249,11302200
2020/5/1,174.449997,179.639999,174.270004,175.570007,175.27652,10109600
2020/5/4,172.949997,176.940002,171.720001,176.149994,175.855545,9386200
2020/5/5,179.089996,181.100006,178.259995,178.440002,178.141724,13513000
2020/5/6,179.720001,180.509995,177.880005,178.779999,178.481155,8540500
2020/5/7,181.75,184.979996,181.710007,182.720001,182.414566,9262200
2020/5/8,185.029999,185.75,183.619995,185.089996,184.780594,6475200
2020/5/11,183.869995,184.619995,181.429993,183.559998,183.253159,8680400
2020/5/12,183.559998,183.990005,179.369995,179.470001,179.169998,8219700
2020/5/13,178.5,181.089996,175.039993,177.089996,177.089996,13377100
2020/5/14,175.940002,181.050003,173.820007,180.899994,180.899994,9695100
2020/5/15,179.979996,184.139999,178.869995,183.490005,183.490005,10785900
2020/5/18,188,192.830002,187.470001,191.380005,191.380005,11806300
2020/5/19,191.139999,194.5,189.229996,189.360001,189.360001,7446800
2020/5/20,193,194.990005,192.410004,193.860001,193.860001,9545600
2020/5/21,193.5,193.619995,190.020004,190.619995,190.619995,11338100
2020/5/22,191,191.369995,189.229996,190.860001,190.860001,5807600
2020/5/26,195.800003,196.270004,192.759995,193.220001,193.220001,9662200
2020/5/27,194.309998,194.309998,188.520004,192.820007,192.820007,7650300
2020/5/28,193.539993,198.289993,192.710007,194.259995,194.259995,8352200
2020/5/29,194.5,196.740005,193.279999,195.240005,195.240005,10213500
2020/6/1,194.710007,195.880005,193.520004,194.350006,194.350006,6011300
